Unnamed: 0,Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
16.0,18182702.0,Nonna's Pasta & Pizzeria,162.0,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa, Santa Rosa",121.0565874,14.23767897,"Italian, Pizza",710329.8631783329,unknown,No,No,No,No,3.0,4.0,Green,Very Good,72.0
17.0,6318213.0,noise,162.0,Tagaytay City,"Aguinaldo Highway, Tagaytay City",Tagaytay City,random,120.951589,14.101834,unknown,1200.0,Botswana Pula(P),Yes,No,No,No,3.0,4.154358068672818,Dark Green,Excellent,211.0
18.0,18255654.0,random,162.0,Taguig City,nan,"BGC Stopover Pavillion, Bonifacio Global City","BGC Stopover Pavillion, Bonifacio Global City, Taguig City",121.045878,4.796731488774611,unknown,600.0,Botswana Pula(P),No,No,nan,No,2.0,1.5032572749892168,Dark Green,random,2036.4863768721407
19.0,6308205.0,Wildflour Cafe + Bakery,162.0,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,"Bonifacio Global City, Taguig City",121.04622,14.549337,"Cafe, Bakery, American, Italian",1500.0,Botswana Pula(P),Yes,No,No,No,4.0,4.4,Green,noise,392.0
20.0,6315438.0,NIU by Vikings,162.0,random,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.053725,14.545858,random,3000.0,Botswana Pula(P),noise,No,No,No,4.0,4.7,Dark Green,Excellent,10181.811853407025
850.027643719182,6310406.0,The Food Hall by Todd English,103.61841990368076,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.0534998,14.54565535,"American, Asian, Italian, Seafood",1800.0,Botswana Pula(P),Yes,No,No,No,4.0,4.5,Dark Green,random,618.0
22.0,6600681.0,Chez Michou,30.0,Brasí_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasí_lia",Asa Norte,random,-47.88178889,-15.76414167,"Fast Food, French",119675.52759684397,Brazilian Real(R$),No,No,No,No,2.0,3.0,random,Average,6.0
23.0,6601005.0,Cafí© Daniel Briand,10.907976139460423,Brasí_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasí_lia",nan,"Asa Norte, Brasí_lia",-47.88266667,-15.7775,Cafe,30.0,Brazilian Real(R$),No,No,No,noise,1.0,3.8,Yellow,Good,9.0
24.0,6600292.0,unknown,30.0,Brasí_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasí_lia",Asa Norte,random,-47.88213611,-15.75747222,noise,45.0,Brazilian Real(R$),No,No,No,No,2.0,3.1740621237523765,Yellow,Good,11.0
25.0,6600441.0,Maori,30.0,Brasí_lia,unknown,Asa Norte,"Asa Norte, Brasí_lia",-47.88816667,-15.75883333,Brazilian,60.0,noise,No,No,No,No,3.6144847562605102,3.8,Yellow,Good,11.0
26.0,6600970.0,Pizza íæ Bessa,30.0,random,"SCS 214, Bloco C, Loja 40, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",-47.91566667,-15.83116667,random,50.0,Brazilian Real(R$),No,No,No,No,2.0,3.2,random,Average,11.0
27.0,6600379.0,Sushi Loko,126.70658584122978,Brasí_lia,noise,Asa Sul,"Asa Sul, Brasí_lia",-47.91566667,-15.831,Japanese,80.0,Brazilian Real(R$),No,No,No,No,3.0,3.1,Orange,Average,10.0
28.0,6600214.0,Beirute,30.0,random,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Brasí_lia",random,random,-47.9075,-15.82,Arabian,90.0,Brazilian Real(R$),No,No,No,No,3.0,3.7,nan,Good,8.0
1143.6658752334067,6601218.0,New Koto,30.0,noise,"SCS 212, Bloco B, Loja 26, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",-47.91016667,-15.82733333,Japanese,200.0,Brazilian Real(R$),noise,No,No,No,4.0,3.7,random,Good,5.0
30.0,6600060.0,nan,30.0,Brasí_lia,"Edifí_cio Josí© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",-10.462948413506155,-27.603998107267735,"Brazilian, Cafe",30.0,Brazilian Real(R$),No,No,No,No,1.0,0.0,White,Not rated,2.0
31.0,6600083.0,noise,169.60574661386835,Brasí_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, Brasí_lia",random,"Asa Sul, Brasí_lia",-47.92366667,-15.83133333,Italian,150.0,Brazilian Real(R$),unknown,No,No,No,4.0,4.1,Green,Very Good,12.0
32.0,6601515.0,Rovereto,30.0,Brasí_lia,"Rua 13 Norte, Lote 4, íguas Claras, Brasí_lia",random,"íguas Claras, Brasí_lia",-48.019,-15.83716667,Pizza,100.0,Brazilian Real(R$),No,random,No,No,1.0012532205003595,3.1,nan,Average,9.0
33.0,6601361.0,Buena Carne,186.44569600920016,random,nan,íguas Claras,"íguas Claras, Brasí_lia",-48.01909167,-15.839775,"Bar Food, Brazilian",60.0,random,No,No,noise,No,3.0,3.6,Yellow,Good,9.0
34.0,7286981.10076075,Taco Pep,30.0,nan,"Vila Malls, Avenida das Castanheiras, Lote 1060, íguas Claras, Brasí_lia",random,"íguas Claras, Brasí_lia",-48.01666667,-15.83483333,"Mexican, Grill",100.0,nan,No,No,No,random,4.0,4.3,noise,Very Good,29.0
35.0,6601589.0,unknown,30.0,Brasí_lia,"Brasí_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Brasí_lia","Brasí_lia Shopping, Asa Norte","Brasí_lia Shopping, Asa Norte, Brasí_lia",-47.889,25.210597778469833,nan,230.0,Brazilian Real(R$),No,No,No,No,4.0,4.2,Green,Very Good,17.0
5572.901473566045,6601862.0,random,30.0,Brasí_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Brasí_lia",unknown,"Lago Sul, Brasí_lia",-47.872359,-15.860621,"Peruvian, Latin American",100.0,Brazilian Real(R$),No,No,noise,No,4.0,3.6,Yellow,Good,5.0
8633.909044066408,6601595.0,Outback Steakhouse,179.554210150396,Brasí_lia,"ParkShopping - Piso 2, SAI/SO, írea 6580, Guaríç I, Brasí_lia","ParkShopping, Guaríç I","ParkShopping, Guaríç I, Brasí_lia",-47.95628333,-15.83451389,"American, Grill",150.0,Brazilian Real(R$),No,No,No,No,4.0,4.0,unknown,Very Good,10.0
38.0,6601158.0,Manzuíç,30.0,Brasí_lia,"Pontí£o Lago Sul, SHIS 10, Lote 9, Lago Sul, Brasí_lia","Pontí£o Lago Sul, Lago Sul","Pontí£o Lago Sul, Lago Sul, Brasí_lia",97.82750831810452,22.372022193554812,Seafood,56406.10357670264,Brazilian Real(R$),No,No,No,No,3.660542931803664,3.2,noise,Average,6.0
39.0,6600427.0,Coco Bambu,30.0,Brasí_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Brasí_lia",Setor De Clubes Esportivos Sul,"Setor De Clubes Esportivos Sul, Brasí_lia",-47.8685,-15.819,International,389952.07866152644,Brazilian Real(R$),No,No,random,No,4.0,4.9,Dark Green,Excellent,30.0
40.0,6600116.0,Gero,30.0,noise,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Brasí_lia",unknown,"Shopping Iguatemi, Lago Norte, Brasí_lia",-47.885812,-15.720118,Italian,350.0,Brazilian Real(R$),noise,No,No,No,4.0,3.3,unknown,Average,8.0
41.0,6601457.0,Brazilian American Burgers,30.0,Brasí_lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, Brasí_lia",Sudoeste,"Sudoeste, Brasí_lia",106.08019229694611,-15.79753056,"American, Burger",45172.084735922355,random,No,No,No,No,3.198982641548607,3.6,random,Good,9.0
42.0,7303219.0,Pesqueiro Eco Gourmet,30.0,nan,"Praia da Barra da Tijuca, Avenida Lí_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,"Barra da Tijuca, Rio de Janeiro",-43.377,-23.0115,"Seafood, Bar Food, Brazilian",140.0,Brazilian Real(R$),No,No,No,No,4.0,4.0,Green,Very Good,7.0
43.0,7304307.0,Confeitaria Colombo,30.0,Rio de Janeiro,unknown,Centro,"Centro, Rio de Janeiro",-43.178826,-22.905293,"Desserts, Cafe",100.0,random,No,No,No,No,4.0,4.0005485629481345,Dark Green,Excellent,29.0
7442.080027306428,7301215.0,Bibi,30.0,noise,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Copacabana,random,-43.18669167,5.478947648436922,"Juices, Healthy Food",60.0,Brazilian Real(R$),No,No,No,No,3.0,4.7,Dark Green,nan,2064.0459511910735
45.0,367735.7838301259,Cervantes,103.08514459190916,Rio de Janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.17583333,-22.96216667,"Beverages, Bar Food, Fast Food",90.0,nan,noise,No,No,No,3.0,4.5,unknown,Excellent,29.0
9043.071567304974,7300612.0,random,30.0,nan,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.176,-18.143893212207107,Lebanese,170.0,Brazilian Real(R$),No,No,nan,No,4.0,4.2,Green,Very Good,11.0
47.0,1574041.344290759,TT Burger,30.0,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana","Galeria River, Copacabana, Rio de Janeiro",-43.191,-22.98683333,Burger,60.0,unknown,No,No,No,noise,3.0,4.8,Dark Green,Excellent,19.0
48.0,6204596.107806835,Braseiro da Gíçvea,30.0,Rio de Janeiro,"Praí_a Santos Dumont, 116, Gíçvea, Rio de Janeiro",random,"Gíçvea, Rio de Janeiro",-43.227042,-22.973507,"Brazilian, Bar Food",100.0,Brazilian Real(R$),noise,No,No,No,4.0,4.9,random,Excellent,40.0
3049.6210587852775,7300521.0,Balada Mix,30.0,Rio de Janeiro,"Rua Aní_bal de Mendoní_a, 37, Ipanema, Rio de Janeiro",Ipanema,unknown,-43.211425,-22.98520833,"Brazilian, Healthy Food, Juices, Pizza",90.0,Brazilian Real(R$),No,No,No,unknown,3.0,4.6,Dark Green,Excellent,21.0
50.0,7300515.0,unknown,78.44881623241008,Rio de Janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-43.203,-22.98533333,"Brazilian, Bar Food",120.0,Brazilian Real(R$),No,No,No,No,4.0,0.2974536821844727,Dark Green,Excellent,2458.9091139102984
51.0,3431042.6082722824,Zazíç BistríÇ Tropical,30.0,Rio de Janeiro,"Rua Joana Angí©lica, 40, Ipanema, Rio de Janeiro",Ipanema,unknown,-43.20520833,19.176022700110074,random,170.0,Brazilian Real(R$),No,No,No,random,3.417661898381221,4.6,Dark Green,nan,21.0
52.0,7301064.0,random,30.0,Rio de Janeiro,"Rua Jardim Botí¢nico, 731, Jardim Botí¢nico, Lagoa, Rio de Janeiro",Lagoa,random,-43.219563,-22.966647,Brazilian,90.0,Brazilian Real(R$),No,random,No,No,3.0,4.3,Green,Very Good,14.0
53.0,7304312.0,noise,30.0,Rio de Janeiro,"Le Monde, Bloco 3, Lojas A/B, Avenida das Amí©ricas, 3500, Barra da Tijuca, Rio de Janeiro","Le Monde, Barra da Tijuca","Le Monde, Barra da Tijuca, Rio de Janeiro",-43.34879167,-22.99991111,Italian,483545.9529338665,random,No,No,No,No,4.0,4.0,nan,Very Good,5.0
674.9277441776618,7300004.0,Sushi Leblon,30.0,random,nan,Leblon,"Leblon, Rio de Janeiro",-43.227,-22.98416667,Japanese,288960.3218600674,Brazilian Real(R$),No,No,No,No,4.0,4.6,Dark Green,Excellent,25.0
55.0,7300868.0,Talho Capixaba,46.577669280338284,Rio de Janeiro,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",Leblon,"Leblon, Rio de Janeiro",-43.22566667,-22.98516667,random,120.0,noise,No,No,nan,nan,4.0,4.4,Green,Very Good,13.0
56.0,7302637.0,unknown,30.0,Rio de Janeiro,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",noise,"Leme, Rio de Janeiro",-43.17279167,-22.963925,Brazilian,40.0,Brazilian Real(R$),No,No,No,No,2.0,4.2,Green,Very Good,7.0
57.0,7302140.0,Shirley,30.0,Rio de Janeiro,random,noise,"Leme, Rio de Janeiro",-43.17126389,-22.96337222,"Brazilian, Seafood",250.0,Brazilian Real(R$),No,No,No,No,4.0,4.2,Green,nan,8.0
58.0,5733041.938115747,Quiosque Chopp Brahma,30.0,unknown,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",Madureira,"Madureira, Rio de Janeiro",-43.341164,-22.870413,"Bar Food, Brazilian",70.0,Brazilian Real(R$),No,No,No,No,1.2760131018495833,0.0,White,Not rated,1.0
2657.830794456795,7302898.0,Aprazí_vel,30.0,Rio de Janeiro,"Rua Aprazí_vel, 62, Santa Teresa, Rio de Janeiro",Santa Teresa,"Santa Teresa, Rio de Janeiro",-43.18736944,-4.651728534986582,Brazilian,542476.6374350642,Brazilian Real(R$),No,No,No,No,4.0,3.776859614224445,Dark Green,Excellent,44.0
60.0,7302859.0,Aconchego Carioca,138.0702611907973,Rio de Janeiro,"Rua Barí£o de Iguatemi, 379, Tijuca, Rio de Janeiro",Tijuca,"Tijuca, Rio de Janeiro",-43.21551111,-22.91370833,"Brazilian, Bar Food",85.0,Brazilian Real(R$),No,No,No,noise,3.0,0.016004035817272035,Dark Green,unknown,24.0
61.0,7301700.0,Garota de Ipanema,30.0,Rio de Janeiro,"Avenida Joí£o Alves, 56, Urca, Rio de Janeiro",Urca,"Urca, Rio de Janeiro",-43.16266667,-1.5813217680295963,"Brazilian, Bar Food",80.0,Brazilian Real(R$),No,No,No,No,3.0,4.3,Green,Very Good,10.0
62.0,6706313.0,Cantina Famiglia Mancini,30.0,Sí£o Paulo,"Rua Avanhandava, 81, Bela Vista, Sí£o Paulo 10000","Bela Vista, Centro","Bela Vista, Centro, Sí£o Paulo",-60.88670891777291,-23.55066667,"Italian, Pizza",250.0,Brazilian Real(R$),No,No,No,random,4.0,1.478882675932681,Dark Green,random,49.0
63.0,6704326.0,Templo da Carne - Marcos Bassi,30.0,Sí£o Paulo,"Rua Treze de Maio, 668, Bela Vista, Sí£o Paulo 01327000",noise,"Bela Vista, Centro, Sí£o Paulo",-46.64633333,-23.559,noise,250.0,Brazilian Real(R$),No,No,No,No,2.738159130030114,4.4,Green,Very Good,6839.561076428039
8211.429008900664,6711179.0,Gopala Hari,30.0,Sí£o Paulo,nan,Consolaí_í£o,"Consolaí_í£o, Sí£o Paulo",-46.65866667,11.548121581399592,Indian,70.0,unknown,random,No,No,No,3.0,3.1,unknown,Average,9629.816386105294
6069.341848744236,6702797.0,Jiquitaia,30.0,noise,"Rua AntíÇnio Carlos, 268, Consolaí_í£o, Sí£o Paulo",random,"Consolaí_í£o, Sí£o Paulo",-46.657523,-4.003776495902613,Brazilian,100.0,Brazilian Real(R$),No,No,nan,No,4.0,4.1,unknown,Very Good,15.0
66.0,6700475.0,Skye - Hotel Unique,188.1847192212298,Sí£o Paulo,"Hotel Unique, Avenida Brigadeiro Luí_s AntíÇnio, 4700, Jardim Paulista, Sí£o Paulo",random,"Hotel Unique, Jardim Paulista, Sí£o Paulo",-46.666851,-23.581688,"Beverages, International",300.0,Brazilian Real(R$),No,No,No,No,4.0,2.142194438161914,Dark Green,Excellent,59.0
1358.2424813820496,6713413.0,Les 3 Brasseurs,181.22080088521926,Sí£o Paulo,"Rua Jesuí_no Arruda, 470, Itaim Bibi, Sí£o Paulo",Itaim Bibi,"Itaim Bibi, Sí£o Paulo",-46.67511,-23.582135,noise,747757.2540460647,noise,nan,No,No,No,4.0,1.8415504066515263,Dark Green,Excellent,30.0
68.0,7521872.816343235,Red Steak & Burger,30.0,Sí£o Paulo,"Rua Tabapuí£, 1417, Itaim Bibi, Sí£o Paulo",Itaim Bibi,"Itaim Bibi, Sí£o Paulo",-46.683888,-23.585324,"Brazilian, Grill",75.0,noise,No,No,random,No,3.0,3.9,Yellow,nan,5.0
69.0,17966213.623292316,Cantinho da Gula,30.0,Sí£o Paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, Sí£o Paulo, SP",noise,"Itaim Bibi, Sí£o Paulo",-46.67566667,-12.928838056831971,Brazilian,55.0,Brazilian Real(R$),No,No,No,nan,2.0,0.0,White,Not rated,0.0
70.0,6700402.0,Paris 6 Classique,131.13169720784904,Sí£o Paulo,"Rua Haddock Lobo, 1240, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo",Jardim Paulista,"Jardim Paulista, Sí£o Paulo",-46.666041,-23.561568,French,619496.2160956658,Brazilian Real(R$),No,No,No,unknown,4.0,3.4,Orange,Average,73.0
71.0,6700846.0,Kawa Sushi,30.0,Sí£o Paulo,"Alameda Lorena, 300, Jardim Paulista, Sí£o Paulo",Jardim Paulista,"Jardim Paulista, Sí£o Paulo",-46.657418,-23.571638,"Sushi, Japanese",120.0,Brazilian Real(R$),No,No,No,random,3.8857508180922373,3.5,Yellow,Good,9.0
72.0,6702159.0,A Figueira Rubaiyat,30.0,Sí£o Paulo,"Rua Haddock Lobo, 1738, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo 10000",Jardim Paulista,random,-46.66983333,-23.5655,noise,300.0,Brazilian Real(R$),nan,No,No,No,4.0,4.3,Green,Very Good,39.0
73.0,12912318.447146496,Kinoshita,30.0,random,"Rua Jacques Fí©lix, 405, Vila Nova Conceií_í£o, Moema, Sí£o Paulo",Moema,unknown,-46.67133333,-39.86811553602498,Sushi,230.0,Brazilian Real(R$),No,No,noise,No,4.0,3.9,Yellow,Good,12.0
74.0,9939005.57937633,nan,30.0,nan,"Rua dos Pinheiros, 320, Pinheiros, Sí£o Paulo",Pinheiros,"Pinheiros, Sí£o Paulo",97.9351819415188,-34.44569788840626,"Gourmet Fast Food, Burger",120.0,Brazilian Real(R$),No,noise,No,No,4.0,4.3,Green,Very Good,68.0
75.0,5399188.36747591,random,30.0,Sí£o Paulo,"Praí_a Dom Josí© Gaspar, 42, Repí_blica, Sí£o Paulo 10000",Repí_blica,"Repí_blica, Sí£o Paulo",-46.64159444,-23.54664167,"Brazilian, Italian",150.0,unknown,No,No,No,No,4.0,4.3,Green,Very Good,46.0
76.0,6705858.0,random,30.0,Sí£o Paulo,unknown,Repí_blica,"Repí_blica, Sí£o Paulo",-46.643425,-23.545163,Italian,400.0,unknown,No,No,No,random,4.0,4.4,Green,Very Good,37.0
77.0,6701419.0,unknown,194.47782430327956,Sí£o Paulo,unknown,"Shopping MetríÇ Santa Cruz, Vila Mariana","Shopping MetríÇ Santa Cruz, Vila Mariana, Sí£o Paulo",-46.63716667,-23.5995,"Brazilian, Mineira",65.0,Brazilian Real(R$),No,No,No,No,3.0,0.0,random,Not rated,2.0
78.0,6703956.0,Super Grill,30.0,Sí£o Paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni Jí_nior, 1089, Santo Amaro, Sí£o Paulo",unknown,"Shopping Morumbi, Santo Amaro, Sí£o Paulo",-46.698574,-30.688430875202144,Brazilian,50.0,Brazilian Real(R$),No,No,No,No,2.0,0.0,White,Not rated,237.1522619181602
1467.6462111231162,6709580.0,Esquina Mocotí_,30.0,unknown,noise,Vila Maria,"Vila Maria, Sí£o Paulo",-46.581672,-23.486535,unknown,3839.215336238144,Brazilian Real(R$),No,No,No,random,4.0,4.875699787865925,Green,Very Good,22.0
80.0,6703176.0,Veloso,30.0,Sí£o Paulo,"Rua Conceií_í£o Veloso, 56, Vila Mariana, Sí£o Paulo",Vila Mariana,"Vila Mariana, Sí£o Paulo",-46.63566667,-23.58516667,"Brazilian, Bar Food, Beverages",70.0,Brazilian Real(R$),unknown,nan,No,No,3.0,4.6,Dark Green,Excellent,58.0
81.0,6713772.0,Sainte Marie Gastronomia,30.0,Sí£o Paulo,"Rua Dom Joí£o Batista da Costa, 70, Vila SíÇnia, Sí£o Paulo",Vila SíÇnia,"Vila SíÇnia, Sí£o Paulo",-46.746958,-23.609207,"Lebanese, Arabian",120.0,Brazilian Real(R$),No,noise,No,No,4.0,4.1,nan,Very Good,11.0
441.9510395203522,17284404.0,Austin's BBQ and Oyster Bar,216.0,noise,"2820 Meredyth Dr, Albany, GA 31707",Albany,"Albany, Albany",-84.221535,-0.9948988410616622,"BBQ, Burger, Seafood",25.0,Dollar($),No,No,No,No,2.0,3.3,nan,Average,35.0
83.0,8132250.128390085,BJ's Country Buffet,216.0,random,"2401 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.207095,31.608743,"American, BBQ",10.0,Dollar($),No,No,No,No,1.0,3.3,Orange,Average,3275.870873466124
84.0,17284105.0,Cookie Shoppe,216.0,Albany,nan,Albany,noise,-84.154,31.5772,,0.0,Dollar($),unknown,No,No,No,1.0,3.4,Orange,Average,34.0
85.0,9658021.883290373,El Vaquero Mexican Restaurant,216.0,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2194,31.6158,unknown,0.0,Dollar($),No,No,nan,No,1.0,3.4,Orange,Average,45.0
86.0,17284397.0,Elements Coffee Co - Northwest,216.0,Albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",Albany,"Albany, Albany",-84.206944,31.622412,noise,206123.51891091984,Dollar($),No,No,No,No,1.0,3.4,Orange,random,26.0
